Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C16, C27, C30, C31",402,6,4.7uF,C23733
C11,402,1,1uF,C1525
"C12, C13, C14, C15, C17, C18, C19, C2, C20, C21, C22, C23, C3, C4, C5, C6, C7, C8, C9",402,19,100nF,C14445
"C24, C25, C26",402,3,2.2uF,C107369
"C28, C29",402,2,10uF,C315248
D1,603,1,LED,C2286
IC1,SON95P300X300X100-7N-D,1,ST1L05CPU33R,C2969933 
R1,402,1,62,C412968
R2,402,1,10k,C71617
R3,402,1,100k,C191569
SW1,TPS645-5NC105_JLCPCB,1,CK_KMS2xxG,C19191549
U1,LQFP-144_20x20mm_P0.5mm,1,STM32H755ZITx,C730212
