Designator,Mid X,Mid Y,Rotation,Layer
C1,75.301789,-106.619989,225.0,top
C10,75.4888,-81.1758,270.0,top
C11,78.0288,-104.7242,0.0,top
C12,76.8604,-91.2114,270.0,top
C13,102.4128,-86.4362,0.0,top
C14,90.1192,-106.1466,270.0,top
C15,80.7212,-80.899,90.0,top
C16,75.946,-102.7938,180.0,top
C17,96.7232,-106.6546,270.0,top
C18,76.3524,-87.6046,180.0,top
C19,75.946,-101.7778,180.0,top
C2,79.248,-82.6262,180.0,top
C20,101.5492,-98.9838,90.0,top
C21,97.7392,-106.1974,270.0,top
C22,101.4476,-93.4974,270.0,top
C23,74.676,-96.0882,180.0,top
C24,95.7072,-106.0958,270.0,top
C25,102.0064,-87.4522,0.0,top
C26,82.7024,-80.8482,90.0,top
C27,76.3524,-88.6206,180.0,top
C28,65.473328,-65.121745,180.0,top
C29,67.4624,-65.072659,0.0,top
C3,88.5444,-80.7974,0.0,top
C30,103.1748,-80.899,45.0,top
C31,103.6828,-105.6894,315.0,top
C4,93.3196,-81.3054,0.0,top
C5,102.362,-85.3694,0.0,top
C6,76.7334,-100.1014,270.0,top
C7,82.7532,-105.7402,180.0,top
C8,78.0288,-103.7082,0.0,top
C9,76.8604,-93.2434,90.0,top
D1,86.7664,-132.3594,270.0,top
IC1,66.9544,-67.7164,90.0,top
R1,85.381003,-132.637592,270.0,top
R2,74.676,-97.1042,0.0,top
R3,85.0392,-77.089,0.0,top
SW1,89.6874,-142.367,0.0,top
U1,89.3064,-93.4974,270.0,top
